Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
09/01/2006,Snohomish County                                            ,4.5%,4.4%,4.5%
09/01/2006,Skamania County                                             ,6.1%,4.4%,4.5%
09/01/2006,Benton County                                               ,4.8%,4.4%,4.5%
09/01/2006,Wenatchee MSA                                               ,3.8%,4.4%,4.5%
09/01/2006,Chelan County                                               ,3.9%,4.4%,4.5%
09/01/2006,Longview MSA                                                ,6%,4.4%,4.5%
09/01/2006,Clallam County                                              ,5.2%,4.4%,4.5%
09/01/2006,Skagit County                                               ,4.6%,4.4%,4.5%
09/01/2006,San Juan County                                             ,3.2%,4.4%,4.5%
09/01/2006,Clark County                                                ,5.3%,4.4%,4.5%
09/01/2006,Yakima MSA                                                  ,4.8%,4.4%,4.5%
09/01/2006,Columbia County                                             ,7.2%,4.4%,4.5%
09/01/2006,Pierce County                                               ,4.7%,4.4%,4.5%
09/01/2006,Cowlitz County                                              ,6%,4.4%,4.5%
09/01/2006,Pend Oreille County                                         ,5.7%,4.4%,4.5%
09/01/2006,Douglas County                                              ,3.7%,4.4%,4.5%
09/01/2006,Ferry County                                                ,6.5%,4.4%,4.5%
09/01/2006,Pacific County                                              ,5.9%,4.4%,4.5%
09/01/2006,Bellingham MSA                                              ,4.2%,4.4%,4.5%
09/01/2006,Okanogan County                                             ,4.6%,4.4%,4.5%
09/01/2006,Franklin County                                             ,5.2%,4.4%,4.5%
09/01/2006,Garfield County                                             ,4.1%,4.4%,4.5%
09/01/2006,Grant County                                                ,4.4%,4.4%,4.5%
09/01/2006,Lincoln County                                              ,4.9%,4.4%,4.5%
09/01/2006,Grays Harbor County                                         ,6.2%,4.4%,4.5%
09/01/2006,Lewis County                                                ,6.1%,4.4%,4.5%
09/01/2006,Island County                                               ,4.8%,4.4%,4.5%
10/01/2006,San Juan County                                             ,3.1%,4.1%,4.2%
10/01/2006,Mount Vernon-Anacortes MSA                                  ,4.1%,4.1%,4.2%
10/01/2006,Wahkiakum County                                            ,6%,4.1%,4.2%
10/01/2006,Pierce County                                               ,4.4%,4.1%,4.2%
10/01/2006,Lincoln County                                              ,4.6%,4.1%,4.2%
10/01/2006,Jefferson County                                            ,4.3%,4.1%,4.2%
10/01/2006,Yakima County                                               ,4.5%,4.1%,4.2%
10/01/2006,Snohomish County                                            ,4.3%,4.1%,4.2%
10/01/2006,Lewis County                                                ,5.7%,4.1%,4.2%
10/01/2006,Seattle-Bellevue-Everett MSA                                ,4%,4.1%,4.2%
10/01/2006,Pend Oreille County                                         ,5.2%,4.1%,4.2%
10/01/2006,Franklin County                                             ,4.9%,4.1%,4.2%
10/01/2006,Whitman County                                              ,3.2%,4.1%,4.2%
10/01/2006,Klickitat County                                            ,4.5%,4.1%,4.2%
10/01/2006,Longview MSA                                                ,5.9%,4.1%,4.2%
10/01/2006,Asotin County                                               ,3.4%,4.1%,4.2%
10/01/2006,Bremerton-Silverdale MSA                                    ,4%,4.1%,4.2%
10/01/2006,Thurston County                                             ,3.9%,4.1%,4.2%
10/01/2006,Skamania County                                             ,5%,4.1%,4.2%
10/01/2006,King County                                                 ,3.9%,4.1%,4.2%
10/01/2006,Pacific County                                              ,5.8%,4.1%,4.2%
10/01/2006,Spokane MSA                                                 ,4%,4.1%,4.2%
10/01/2006,Grays Harbor County                                         ,6.3%,4.1%,4.2%
10/01/2006,Clark County                                                ,4.8%,4.1%,4.2%
10/01/2006,Olympia MSA                                                 ,3.9%,4.1%,4.2%
10/01/2006,Tacoma MSA                                                  ,4.4%,4.1%,4.2%
10/01/2006,Columbia County                                             ,6.5%,4.1%,4.2%
10/01/2006,Okanogan County                                             ,4.4%,4.1%,4.2%
10/01/2006,Stevens County                                              ,5.2%,4.1%,4.2%
10/01/2006,Benton County                                               ,4.5%,4.1%,4.2%
10/01/2006,Garfield County                                             ,4.3%,4.1%,4.2%
10/01/2006,Douglas County                                              ,3.2%,4.1%,4.2%
10/01/2006,Kitsap County                                               ,4%,4.1%,4.2%
10/01/2006,Skagit County                                               ,4.1%,4.1%,4.2%
10/01/2006,Mason County                                                ,4.7%,4.1%,4.2%
10/01/2006,Spokane County                                              ,4%,4.1%,4.2%
10/01/2006,Kennewick-Richland-Pasco MSA                                ,4.6%,4.1%,4.2%
10/01/2006,Kittitas County                                             ,3.8%,4.1%,4.2%
10/01/2006,Island County                                               ,4.5%,4.1%,4.2%
10/01/2006,Whatcom County                                              ,3.8%,4.1%,4.2%
10/01/2006,Clallam County                                              ,4.8%,4.1%,4.2%
10/01/2006,Ferry County                                                ,6.2%,4.1%,4.2%
10/01/2006,Cowlitz County                                              ,5.9%,4.1%,4.2%
10/01/2006,Chelan County                                               ,3.6%,4.1%,4.2%
10/01/2006,Bellingham MSA                                              ,3.8%,4.1%,4.2%
10/01/2006,Yakima MSA                                                  ,4.5%,4.1%,4.2%
10/01/2006,Adams County                                                ,3.5%,4.1%,4.2%
10/01/2006,Walla Walla County                                          ,3.9%,4.1%,4.2%
10/01/2006,Grant County                                                ,4.1%,4.1%,4.2%
10/01/2006,Wenatchee MSA                                               ,3.5%,4.1%,4.2%
11/01/2006,Okanogan County                                             ,7.4%,4.3%,4.9%
11/01/2006,Benton County                                               ,5.4%,4.3%,4.9%
11/01/2006,Yakima County                                               ,7.3%,4.3%,4.9%
11/01/2006,Whitman County                                              ,3.8%,4.3%,4.9%
11/01/2006,Chelan County                                               ,5.4%,4.3%,4.9%
11/01/2006,Yakima MSA                                                  ,7.3%,4.3%,4.9%
11/01/2006,Mount Vernon-Anacortes MSA                                  ,5%,4.3%,4.9%
11/01/2006,Whatcom County                                              ,4.3%,4.3%,4.9%
11/01/2006,Walla Walla County                                          ,4.9%,4.3%,4.9%
11/01/2006,Clallam County                                              ,6%,4.3%,4.9%
11/01/2006,Wahkiakum County                                            ,7.8%,4.3%,4.9%
11/01/2006,Thurston County                                             ,4.4%,4.3%,4.9%
11/01/2006,Clark County                                                ,5.1%,4.3%,4.9%
11/01/2006,Stevens County                                              ,6.8%,4.3%,4.9%
11/01/2006,Spokane County                                              ,4.6%,4.3%,4.9%
11/01/2006,Columbia County                                             ,8.2%,4.3%,4.9%
11/01/2006,Olympia MSA                                                 ,4.4%,4.3%,4.9%
11/01/2006,Snohomish County                                            ,4.6%,4.3%,4.9%
11/01/2006,Skamania County                                             ,6.3%,4.3%,4.9%
11/01/2006,Seattle-Bellevue-Everett MSA                                ,4.3%,4.3%,4.9%
11/01/2006,Cowlitz County                                              ,6.7%,4.3%,4.9%
11/01/2006,Jefferson County                                            ,4.8%,4.3%,4.9%
11/01/2006,Skagit County                                               ,5%,4.3%,4.9%
11/01/2006,San Juan County                                             ,3.8%,4.3%,4.9%
11/01/2006,Douglas County                                              ,5.3%,4.3%,4.9%
11/01/2006,Pierce County                                               ,4.9%,4.3%,4.9%
11/01/2006,Pend Oreille County                                         ,7%,4.3%,4.9%
11/01/2006,Spokane MSA                                                 ,4.6%,4.3%,4.9%
11/01/2006,Ferry County                                                ,7.5%,4.3%,4.9%
11/01/2006,King County                                                 ,4.2%,4.3%,4.9%
11/01/2006,Pacific County                                              ,6.8%,4.3%,4.9%
11/01/2006,Longview MSA                                                ,6.7%,4.3%,4.9%
11/01/2006,Franklin County                                             ,8.2%,4.3%,4.9%
11/01/2006,Tacoma MSA                                                  ,4.9%,4.3%,4.9%
11/01/2006,Kittitas County                                             ,5%,4.3%,4.9%
11/01/2006,Mason County                                                ,5.6%,4.3%,4.9%
11/01/2006,Garfield County                                             ,5.5%,4.3%,4.9%
11/01/2006,Lincoln County                                              ,5.5%,4.3%,4.9%
11/01/2006,Island County                                               ,5.2%,4.3%,4.9%
11/01/2006,Wenatchee MSA                                               ,5.3%,4.3%,4.9%
11/01/2006,Lewis County                                                ,6.8%,4.3%,4.9%
11/01/2006,Grant County                                                ,6.7%,4.3%,4.9%
11/01/2006,Kennewick-Richland-Pasco MSA                                ,6.1%,4.3%,4.9%
11/01/2006,Grays Harbor County                                         ,7.6%,4.3%,4.9%
11/01/2006,Asotin County                                               ,3.6%,4.3%,4.9%
11/01/2006,Bremerton-Silverdale MSA                                    ,4.5%,4.3%,4.9%
11/01/2006,Adams County                                                ,7.3%,4.3%,4.9%
11/01/2006,Bellingham MSA                                              ,4.3%,4.3%,4.9%
11/01/2006,Klickitat County                                            ,6.6%,4.3%,4.9%
11/01/2006,Kitsap County                                               ,4.5%,4.3%,4.9%
12/01/2006,Douglas County                                              ,5.9%,4.3%,4.8%
12/01/2006,Spokane MSA                                                 ,4.9%,4.3%,4.8%
12/01/2006,Seattle-Bellevue-Everett MSA                                ,3.9%,4.3%,4.8%
12/01/2006,Olympia MSA                                                 ,4.4%,4.3%,4.8%
12/01/2006,Mount Vernon-Anacortes MSA                                  ,5%,4.3%,4.8%
12/01/2006,Longview MSA                                                ,6%,4.3%,4.8%
12/01/2006,Kennewick-Richland-Pasco MSA                                ,6.7%,4.3%,4.8%
12/01/2006,Bremerton-Silverdale MSA                                    ,4.3%,4.3%,4.8%
12/01/2006,Bellingham MSA                                              ,4.3%,4.3%,4.8%
12/01/2006,Yakima County                                               ,8.4%,4.3%,4.8%
12/01/2006,Whitman County                                              ,3.5%,4.3%,4.8%
12/01/2006,Whatcom County                                              ,4.3%,4.3%,4.8%
12/01/2006,Walla Walla County                                          ,5.2%,4.3%,4.8%
12/01/2006,Wahkiakum County                                            ,6.4%,4.3%,4.8%
12/01/2006,Thurston County                                             ,4.4%,4.3%,4.8%
12/01/2006,Stevens County                                              ,7.9%,4.3%,4.8%
12/01/2006,Spokane County                                              ,4.9%,4.3%,4.8%
12/01/2006,Snohomish County                                            ,4.3%,4.3%,4.8%
12/01/2006,Skamania County                                             ,6.3%,4.3%,4.8%
12/01/2006,Skagit County                                               ,5%,4.3%,4.8%
12/01/2006,San Juan County                                             ,3.8%,4.3%,4.8%
12/01/2006,Pierce County                                               ,4.6%,4.3%,4.8%
12/01/2006,Pend Oreille County                                         ,7.7%,4.3%,4.8%
12/01/2006,Pacific County                                              ,6.6%,4.3%,4.8%
12/01/2006,Tacoma MSA                                                  ,4.6%,4.3%,4.8%
12/01/2006,Okanogan County                                             ,8.5%,4.3%,4.8%
12/01/2006,Mason County                                                ,5.9%,4.3%,4.8%
12/01/2006,Lincoln County                                              ,6%,4.3%,4.8%
12/01/2006,Lewis County                                                ,8%,4.3%,4.8%
12/01/2006,Klickitat County                                            ,7%,4.3%,4.8%
12/01/2006,Kittitas County                                             ,5.5%,4.3%,4.8%
12/01/2006,Kitsap County                                               ,4.3%,4.3%,4.8%
12/01/2006,King County                                                 ,3.8%,4.3%,4.8%
12/01/2006,Jefferson County                                            ,4.8%,4.3%,4.8%
12/01/2006,Island County                                               ,4.8%,4.3%,4.8%
12/01/2006,Grays Harbor County                                         ,7.6%,4.3%,4.8%
12/01/2006,Grant County                                                ,8.2%,4.3%,4.8%
12/01/2006,Garfield County                                             ,5.4%,4.3%,4.8%
12/01/2006,Franklin County                                             ,9.2%,4.3%,4.8%
12/01/2006,Ferry County                                                ,8%,4.3%,4.8%
12/01/2006,Cowlitz County                                              ,6%,4.3%,4.8%
12/01/2006,Columbia County                                             ,7.9%,4.3%,4.8%
12/01/2006,Clark County                                                ,4.6%,4.3%,4.8%
12/01/2006,Clallam County                                              ,6%,4.3%,4.8%
12/01/2006,Chelan County                                               ,6%,4.3%,4.8%
12/01/2006,Benton County                                               ,5.8%,4.3%,4.8%
12/01/2006,Asotin County                                               ,3.7%,4.3%,4.8%
12/01/2006,Adams County                                                ,9.5%,4.3%,4.8%
12/01/2006,Wenatchee MSA                                               ,6%,4.3%,4.8%
12/01/2006,Yakima MSA                                                  ,8.4%,4.3%,4.8%
01/01/2007,Island County                                               ,5.3%,5%,5.4%
01/01/2007,Wahkiakum County                                            ,7.2%,5%,5.4%
01/01/2007,Jefferson County                                            ,5.5%,5%,5.4%
01/01/2007,Grays Harbor County                                         ,8.3%,5%,5.4%
01/01/2007,Walla Walla County                                          ,6.5%,5%,5.4%
01/01/2007,Wenatchee MSA                                               ,7%,5%,5.4%
01/01/2007,Tacoma MSA                                                  ,5.3%,5%,5.4%
01/01/2007,King County                                                 ,4.1%,5%,5.4%
01/01/2007,Grant County                                                ,9.4%,5%,5.4%
01/01/2007,Thurston County                                             ,5%,5%,5.4%
01/01/2007,Garfield County                                             ,6.2%,5%,5.4%
01/01/2007,Kitsap County                                               ,4.9%,5%,5.4%
01/01/2007,Whatcom County                                              ,5.1%,5%,5.4%
01/01/2007,Franklin County                                             ,9.5%,5%,5.4%
01/01/2007,Kittitas County                                             ,6.3%,5%,5.4%
01/01/2007,Spokane MSA                                                 ,5.8%,5%,5.4%
01/01/2007,Stevens County                                              ,9.8%,5%,5.4%
01/01/2007,Ferry County                                                ,10.5%,5%,5.4%
01/01/2007,Yakima MSA                                                  ,8.9%,5%,5.4%
01/01/2007,Whitman County                                              ,4.2%,5%,5.4%
01/01/2007,Klickitat County                                            ,9.5%,5%,5.4%
01/01/2007,Douglas County                                              ,6.7%,5%,5.4%
01/01/2007,Cowlitz County                                              ,7.1%,5%,5.4%
01/01/2007,Lewis County                                                ,8.8%,5%,5.4%
01/01/2007,Yakima County                                               ,8.9%,5%,5.4%
01/01/2007,Spokane County                                              ,5.8%,5%,5.4%
01/01/2007,Seattle-Bellevue-Everett MSA                                ,4.3%,5%,5.4%
01/01/2007,Columbia County                                             ,9%,5%,5.4%
01/01/2007,Lincoln County                                              ,6.9%,5%,5.4%
01/01/2007,Clark County                                                ,6.2%,5%,5.4%
01/01/2007,Bellingham MSA                                              ,5.1%,5%,5.4%
01/01/2007,Mason County                                                ,7%,5%,5.4%
01/01/2007,Snohomish County                                            ,4.7%,5%,5.4%
01/01/2007,Clallam County                                              ,6.9%,5%,5.4%
01/01/2007,Okanogan County                                             ,9.7%,5%,5.4%
01/01/2007,Olympia MSA                                                 ,5%,5%,5.4%
01/01/2007,Bremerton-Silverdale MSA                                    ,4.9%,5%,5.4%
01/01/2007,Chelan County                                               ,7.1%,5%,5.4%
01/01/2007,Skamania County                                             ,8.6%,5%,5.4%
01/01/2007,San Juan County                                             ,4.9%,5%,5.4%
01/01/2007,Pacific County                                              ,7.3%,5%,5.4%
01/01/2007,Benton County                                               ,6.4%,5%,5.4%
01/01/2007,Kennewick-Richland-Pasco MSA                                ,7.3%,5%,5.4%
01/01/2007,Pend Oreille County                                         ,9.4%,5%,5.4%
01/01/2007,Asotin County                                               ,5.8%,5%,5.4%
01/01/2007,Mount Vernon-Anacortes MSA                                  ,5.8%,5%,5.4%
01/01/2007,Skagit County                                               ,5.8%,5%,5.4%
01/01/2007,Pierce County                                               ,5.3%,5%,5.4%
01/01/2007,Adams County                                                ,10.4%,5%,5.4%
01/01/2007,Longview MSA                                                ,7.1%,5%,5.4%
02/01/2007,Garfield County                                             ,6%,4.9%,5.3%
02/01/2007,Chelan County                                               ,6.5%,4.9%,5.3%
02/01/2007,Kittitas County                                             ,6.1%,4.9%,5.3%
02/01/2007,Spokane MSA                                                 ,5.8%,4.9%,5.3%
02/01/2007,Lewis County                                                ,8.1%,4.9%,5.3%
02/01/2007,Whatcom County                                              ,4.7%,4.9%,5.3%
02/01/2007,Columbia County                                             ,8%,4.9%,5.3%
02/01/2007,Island County                                               ,5.2%,4.9%,5.3%
02/01/2007,Longview MSA                                                ,6.9%,4.9%,5.3%
02/01/2007,Grant County                                                ,8.3%,4.9%,5.3%
02/01/2007,Ferry County                                                ,10.7%,4.9%,5.3%
02/01/2007,Pierce County                                               ,5.1%,4.9%,5.3%
02/01/2007,Bellingham MSA                                              ,4.7%,4.9%,5.3%
02/01/2007,Wenatchee MSA                                               ,6.4%,4.9%,5.3%
02/01/2007,Clallam County                                              ,6.6%,4.9%,5.3%
02/01/2007,Kitsap County                                               ,4.8%,4.9%,5.3%
02/01/2007,Mason County                                                ,6.4%,4.9%,5.3%
02/01/2007,Asotin County                                               ,6.2%,4.9%,5.3%
02/01/2007,Okanogan County                                             ,9.2%,4.9%,5.3%
02/01/2007,Douglas County                                              ,6.3%,4.9%,5.3%
02/01/2007,Mount Vernon-Anacortes MSA                                  ,5.3%,4.9%,5.3%
02/01/2007,Tacoma MSA                                                  ,5.1%,4.9%,5.3%
02/01/2007,Franklin County                                             ,8.5%,4.9%,5.3%
02/01/2007,Yakima County                                               ,8.1%,4.9%,5.3%
02/01/2007,Skamania County                                             ,8.7%,4.9%,5.3%
02/01/2007,King County                                                 ,4.2%,4.9%,5.3%
02/01/2007,Wahkiakum County                                            ,7.2%,4.9%,5.3%
02/01/2007,Skagit County                                               ,5.3%,4.9%,5.3%
02/01/2007,Snohomish County                                            ,4.7%,4.9%,5.3%
02/01/2007,Bremerton-Silverdale MSA                                    ,4.8%,4.9%,5.3%
02/01/2007,Clark County                                                ,6.5%,4.9%,5.3%
02/01/2007,Spokane County                                              ,5.8%,4.9%,5.3%
02/01/2007,Adams County                                                ,9.3%,4.9%,5.3%
02/01/2007,Pacific County                                              ,7.5%,4.9%,5.3%
02/01/2007,Thurston County                                             ,4.8%,4.9%,5.3%
02/01/2007,Lincoln County                                              ,6.6%,4.9%,5.3%
02/01/2007,Benton County                                               ,5.9%,4.9%,5.3%
02/01/2007,Grays Harbor County                                         ,7.8%,4.9%,5.3%
02/01/2007,Yakima MSA                                                  ,8.1%,4.9%,5.3%
02/01/2007,Whitman County                                              ,4.1%,4.9%,5.3%
02/01/2007,Stevens County                                              ,9.4%,4.9%,5.3%
02/01/2007,Seattle-Bellevue-Everett MSA                                ,4.3%,4.9%,5.3%
02/01/2007,Jefferson County                                            ,5.4%,4.9%,5.3%
02/01/2007,Cowlitz County                                              ,6.9%,4.9%,5.3%
02/01/2007,Walla Walla County                                          ,6.2%,4.9%,5.3%
02/01/2007,Olympia MSA                                                 ,4.8%,4.9%,5.3%
02/01/2007,San Juan County                                             ,4.3%,4.9%,5.3%
02/01/2007,Pend Oreille County                                         ,9.3%,4.9%,5.3%
02/01/2007,Kennewick-Richland-Pasco MSA                                ,6.6%,4.9%,5.3%
02/01/2007,Klickitat County                                            ,9.1%,4.9%,5.3%
03/01/2007,Pacific County                                              ,6.7%,4.5%,4.8%
03/01/2007,Benton County                                               ,5%,4.5%,4.8%
03/01/2007,Jefferson County                                            ,4.9%,4.5%,4.8%
03/01/2007,Mount Vernon-Anacortes MSA                                  ,4.7%,4.5%,4.8%
03/01/2007,Franklin County                                             ,6.7%,4.5%,4.8%
03/01/2007,Douglas County                                              ,5.1%,4.5%,4.8%
03/01/2007,San Juan County                                             ,3.5%,4.5%,4.8%
03/01/2007,Kennewick-Richland-Pasco MSA                                ,5.5%,4.5%,4.8%
03/01/2007,Ferry County                                                ,10.3%,4.5%,4.8%
03/01/2007,Stevens County                                              ,8.6%,4.5%,4.8%
03/01/2007,Bellingham MSA                                              ,4.1%,4.5%,4.8%
03/01/2007,Skagit County                                               ,4.7%,4.5%,4.8%
03/01/2007,Spokane MSA                                                 ,4.9%,4.5%,4.8%
03/01/2007,Yakima MSA                                                  ,7%,4.5%,4.8%
03/01/2007,Snohomish County                                            ,4.4%,4.5%,4.8%
03/01/2007,Spokane County                                              ,4.9%,4.5%,4.8%
03/01/2007,Kittitas County                                             ,5%,4.5%,4.8%
03/01/2007,King County                                                 ,3.9%,4.5%,4.8%
03/01/2007,Kitsap County                                               ,4.3%,4.5%,4.8%
03/01/2007,Thurston County                                             ,4.3%,4.5%,4.8%
03/01/2007,Pend Oreille County                                         ,8.5%,4.5%,4.8%
03/01/2007,Wahkiakum County                                            ,7.2%,4.5%,4.8%
03/01/2007,Yakima County                                               ,7%,4.5%,4.8%
03/01/2007,Klickitat County                                            ,8.1%,4.5%,4.8%
03/01/2007,Island County                                               ,4.7%,4.5%,4.8%
03/01/2007,Adams County                                                ,6.3%,4.5%,4.8%
03/01/2007,Mason County                                                ,6.4%,4.5%,4.8%
03/01/2007,Grant County                                                ,6.4%,4.5%,4.8%
03/01/2007,Okanogan County                                             ,7.7%,4.5%,4.8%
03/01/2007,Garfield County                                             ,4.7%,4.5%,4.8%
03/01/2007,Wenatchee MSA                                               ,5.4%,4.5%,4.8%
03/01/2007,Clallam County                                              ,5.7%,4.5%,4.8%
03/01/2007,Chelan County                                               ,5.5%,4.5%,4.8%
03/01/2007,Olympia MSA                                                 ,4.3%,4.5%,4.8%
03/01/2007,Walla Walla County                                          ,5.2%,4.5%,4.8%
03/01/2007,Tacoma MSA                                                  ,4.7%,4.5%,4.8%
03/01/2007,Bremerton-Silverdale MSA                                    ,4.3%,4.5%,4.8%
03/01/2007,Seattle-Bellevue-Everett MSA                                ,4%,4.5%,4.8%
03/01/2007,Skamania County                                             ,7.6%,4.5%,4.8%
03/01/2007,Pierce County                                               ,4.7%,4.5%,4.8%
03/01/2007,Lincoln County                                              ,5.2%,4.5%,4.8%
03/01/2007,Clark County                                                ,6%,4.5%,4.8%
03/01/2007,Lewis County                                                ,7.2%,4.5%,4.8%
03/01/2007,Cowlitz County                                              ,5.9%,4.5%,4.8%
03/01/2007,Longview MSA                                                ,5.9%,4.5%,4.8%
03/01/2007,Grays Harbor County                                         ,7.2%,4.5%,4.8%
03/01/2007,Whitman County                                              ,3.5%,4.5%,4.8%
03/01/2007,Whatcom County                                              ,4.1%,4.5%,4.8%
03/01/2007,Columbia County                                             ,6.8%,4.5%,4.8%
03/01/2007,Asotin County                                               ,5%,4.5%,4.8%
04/01/2007,Ferry County                                                ,9.1%,4.3%,4.3%
04/01/2007,Pacific County                                              ,6.7%,4.3%,4.3%
04/01/2007,Columbia County                                             ,6%,4.3%,4.3%
04/01/2007,Okanogan County                                             ,6.8%,4.3%,4.3%
04/01/2007,Mason County                                                ,5.5%,4.3%,4.3%
04/01/2007,Cowlitz County                                              ,5.9%,4.3%,4.3%
04/01/2007,Lincoln County                                              ,4.9%,4.3%,4.3%
04/01/2007,Island County                                               ,4.7%,4.3%,4.3%
04/01/2007,Klickitat County                                            ,6.6%,4.3%,4.3%
04/01/2007,Lewis County                                                ,6.7%,4.3%,4.3%
04/01/2007,Kittitas County                                             ,4.3%,4.3%,4.3%
04/01/2007,Yakima MSA                                                  ,6%,4.3%,4.3%
04/01/2007,Wenatchee MSA                                               ,5%,4.3%,4.3%
04/01/2007,Tacoma MSA                                                  ,4.6%,4.3%,4.3%
04/01/2007,Spokane MSA                                                 ,4.3%,4.3%,4.3%
04/01/2007,Seattle-Bellevue-Everett MSA                                ,3.4%,4.3%,4.3%
04/01/2007,Olympia MSA                                                 ,4.1%,4.3%,4.3%
04/01/2007,Mount Vernon-Anacortes MSA                                  ,4.5%,4.3%,4.3%
04/01/2007,Kitsap County                                               ,4.1%,4.3%,4.3%
04/01/2007,Longview MSA                                                ,5.9%,4.3%,4.3%
04/01/2007,Douglas County                                              ,4.6%,4.3%,4.3%
04/01/2007,Kennewick-Richland-Pasco MSA                                ,5%,4.3%,4.3%
04/01/2007,Bremerton-Silverdale MSA                                    ,4.1%,4.3%,4.3%
04/01/2007,Bellingham MSA                                              ,4.1%,4.3%,4.3%
04/01/2007,Adams County                                                ,5.1%,4.3%,4.3%
04/01/2007,Yakima County                                               ,6%,4.3%,4.3%
04/01/2007,Whitman County                                              ,3.5%,4.3%,4.3%
04/01/2007,Garfield County                                             ,4.1%,4.3%,4.3%
04/01/2007,Asotin County                                               ,4.5%,4.3%,4.3%
04/01/2007,Whatcom County                                              ,4.1%,4.3%,4.3%
04/01/2007,Walla Walla County                                          ,4.4%,4.3%,4.3%
04/01/2007,Franklin County                                             ,6.1%,4.3%,4.3%
04/01/2007,Wahkiakum County                                            ,7.1%,4.3%,4.3%
04/01/2007,Benton County                                               ,4.6%,4.3%,4.3%
04/01/2007,Thurston County                                             ,4.1%,4.3%,4.3%
04/01/2007,King County                                                 ,3.4%,4.3%,4.3%
04/01/2007,Stevens County                                              ,7.2%,4.3%,4.3%
04/01/2007,Chelan County                                               ,5.2%,4.3%,4.3%
04/01/2007,Spokane County                                              ,4.3%,4.3%,4.3%
04/01/2007,Snohomish County                                            ,3.6%,4.3%,4.3%
04/01/2007,Grays Harbor County                                         ,6.8%,4.3%,4.3%
04/01/2007,Skamania County                                             ,6.2%,4.3%,4.3%
04/01/2007,Clallam County                                              ,5.3%,4.3%,4.3%
04/01/2007,Skagit County                                               ,4.5%,4.3%,4.3%
04/01/2007,San Juan County                                             ,3.1%,4.3%,4.3%
04/01/2007,Grant County                                                ,5.5%,4.3%,4.3%
04/01/2007,Jefferson County                                            ,4.5%,4.3%,4.3%
04/01/2007,Clark County                                                ,5.3%,4.3%,4.3%
04/01/2007,Pierce County                                               ,4.6%,4.3%,4.3%
04/01/2007,Pend Oreille County                                         ,6.9%,4.3%,4.3%
05/01/2007,Skagit County                                               ,4.4%,4.3%,4.3%
05/01/2007,Walla Walla County                                          ,4.4%,4.3%,4.3%
05/01/2007,Jefferson County                                            ,4.2%,4.3%,4.3%
05/01/2007,Bremerton-Silverdale MSA                                    ,4.1%,4.3%,4.3%
05/01/2007,Grant County                                                ,4.9%,4.3%,4.3%
05/01/2007,Pierce County                                               ,4.4%,4.3%,4.3%
05/01/2007,Adams County                                                ,4.8%,4.3%,4.3%
05/01/2007,Kittitas County                                             ,4%,4.3%,4.3%
05/01/2007,Okanogan County                                             ,6%,4.3%,4.3%
05/01/2007,Kennewick-Richland-Pasco MSA                                ,4.4%,4.3%,4.3%
05/01/2007,Whitman County                                              ,3.5%,4.3%,4.3%
05/01/2007,Klickitat County                                            ,5.9%,4.3%,4.3%
05/01/2007,Lewis County                                                ,6.2%,4.3%,4.3%
05/01/2007,Cowlitz County                                              ,5.7%,4.3%,4.3%
05/01/2007,Yakima MSA                                                  ,5.7%,4.3%,4.3%
05/01/2007,Ferry County                                                ,7.6%,4.3%,4.3%
05/01/2007,Asotin County                                               ,3.7%,4.3%,4.3%
05/01/2007,Olympia MSA                                                 ,4.1%,4.3%,4.3%
05/01/2007,Whatcom County                                              ,3.9%,4.3%,4.3%
05/01/2007,Mount Vernon-Anacortes MSA                                  ,4.4%,4.3%,4.3%
05/01/2007,Wenatchee MSA                                               ,4.8%,4.3%,4.3%
05/01/2007,Douglas County                                              ,4.5%,4.3%,4.3%
05/01/2007,Seattle-Bellevue-Everett MSA                                ,3.8%,4.3%,4.3%
05/01/2007,Kitsap County                                               ,4.1%,4.3%,4.3%
05/01/2007,Yakima County                                               ,5.7%,4.3%,4.3%
05/01/2007,Clallam County                                              ,5%,4.3%,4.3%
05/01/2007,Franklin County                                             ,4.8%,4.3%,4.3%
05/01/2007,Benton County                                               ,4.3%,4.3%,4.3%
05/01/2007,Spokane County                                              ,4.1%,4.3%,4.3%
05/01/2007,Stevens County                                              ,6%,4.3%,4.3%
05/01/2007,San Juan County                                             ,3.1%,4.3%,4.3%
05/01/2007,Thurston County                                             ,4.1%,4.3%,4.3%
05/01/2007,Garfield County                                             ,4.3%,4.3%,4.3%
05/01/2007,Island County                                               ,4.5%,4.3%,4.3%
05/01/2007,Pend Oreille County                                         ,6%,4.3%,4.3%
05/01/2007,Mason County                                                ,5.2%,4.3%,4.3%
05/01/2007,Longview MSA                                                ,5.7%,4.3%,4.3%
05/01/2007,Bellingham MSA                                              ,3.9%,4.3%,4.3%
05/01/2007,Tacoma MSA                                                  ,4.4%,4.3%,4.3%
05/01/2007,King County                                                 ,3.7%,4.3%,4.3%
05/01/2007,Pacific County                                              ,5.9%,4.3%,4.3%
05/01/2007,Snohomish County                                            ,4%,4.3%,4.3%
05/01/2007,Chelan County                                               ,5%,4.3%,4.3%
05/01/2007,Lincoln County                                              ,4.4%,4.3%,4.3%
05/01/2007,Wahkiakum County                                            ,5.8%,4.3%,4.3%
05/01/2007,Grays Harbor County                                         ,6.1%,4.3%,4.3%
